Time,Bbr_1_Bps,Bbr_2_Bps,Bbr_1_PktLoss,Bbr_2_PktLoss,Bbr_1_Cwnd,Bbr_2_Cwnd,JainsFairnessIndex
31,615000,630000,108,134,76217,182336,0.999855
31.1,615000,645000,110,133,76217,184363,0.999433
31.2,645000,603960,110,135,76217,184363,0.998921
31.3,630000,615000,112,123,79113,5792,0.999855
31.4,630000,615000,90,82,5792,5792,0.999855
31.5,345000,90000,70,80,5792,5792,0.744248
31.6,120000,60000,70,76,5792,5792,0.9
31.7,135000,45000,82,77,76217,5792,0.8
31.8,660000,15000,82,91,76217,185054,0.522716
31.9,690000,345000,89,110,83990,185054,0.9
32,720000,540000,89,116,84794,185054,0.98
32.1,630000,615000,98,118,85530,185054,0.999855
32.2,675000,570000,103,122,85530,185054,0.992937
32.3,690000,555000,108,138,85530,187174,0.988379
32.4,615000,630000,118,138,85530,184278,0.999855
32.5,690000,563120,115,128,85530,184278,0.989852
32.6,690000,553920,115,133,85530,184974,0.988174
32.7,690000,570000,117,137,85530,184974,0.991011
32.8,660000,585000,120,146,88426,184974,0.996384
32.9,660000,593920,113,153,85530,184974,0.997231
33,615000,631200,118,149,85530,184974,0.999831
33.1,660000,588520,118,148,85530,184974,0.996733
33.2,645000,591920,114,148,80232,184974,0.998162
33.3,660000,592200,111,148,80232,184974,0.997077
33.4,600000,651160,114,146,80232,187870,0.998331
33.5,645000,597720,112,155,80232,187870,0.998555
33.6,615000,630680,114,137,80232,184974,0.999842
33.7,660000,599320,113,126,83128,185054,0.997684
33.8,720000,525000,99,134,74802,185054,0.976056
33.9,555000,690000,105,130,75252,185054,0.988379
34,630000,615000,107,131,75252,179387,0.999855
34.1,645000,615000,108,131,75252,185298,0.999433
34.2,645000,600000,106,133,75252,185298,0.998695
34.3,600000,645000,107,133,75717,185298,0.998695
34.4,615000,630000,110,133,75717,185298,0.999855
34.5,645000,600000,110,136,75717,185298,0.998695
34.6,630000,630000,112,145,78613,188393,1
34.7,615000,622640,107,152,75717,185497,0.999962
34.8,585000,665040,110,125,75717,185497,0.995917
34.9,690000,556880,108,125,75717,185497,0.98873
35,690000,570000,106,130,75717,185497,0.991011
35.1,630000,615000,108,131,75832,185497,0.999855
35.2,630000,615000,108,133,77625,185497,0.999855
35.3,630000,615000,111,134,77625,185497,0.999855
35.4,645000,615000,111,136,77625,185497,0.999433
35.5,630000,615000,113,142,80521,185937,0.999855
35.6,630000,618560,107,149,77625,185937,0.999916
35.7,585000,664200,111,143,77625,188833,0.995996
35.8,630000,610040,112,148,77625,188833,0.999741
35.9,615000,634240,112,141,77625,185937,0.999763
36,645000,603320,109,123,77625,185937,0.998886
36.1,675000,570000,106,128,77625,185937,0.992937
36.2,660000,600000,108,130,77625,185937,0.997738
36.3,645000,600000,110,133,77625,185937,0.998695
36.4,645000,600000,113,136,80521,185937,0.998695
36.5,645000,600000,106,140,75915,185937,0.998695
36.6,570000,681200,111,142,75915,185769,0.992163
36.7,645000,603000,110,137,75915,185769,0.998869
36.8,630000,616360,110,140,75915,185769,0.99988
36.9,615000,630000,108,148,75915,188665,0.999855
37,585000,666680,111,150,75915,185769,0.99576
37.1,630000,622880,110,128,75915,185769,0.999968
37.2,690000,560560,107,124,75915,185857,0.9894
37.3,690000,555000,111,130,78811,186281,0.988379
37.4,660000,585000,105,134,78662,186281,0.996384
37.5,600000,645000,111,133,78662,186281,0.998695
37.6,645000,615000,112,135,78662,186281,0.999433
37.7,645000,600000,113,140,81558,186281,0.998695
37.8,630000,615000,109,148,78662,186281,0.999855
37.9,600000,652200,113,146,78662,186281,0.998265
38,645000,606880,112,143,78662,186281,0.999074
38.1,630000,609560,112,148,78662,189177,0.999728
38.2,615000,628400,112,148,78662,186281,0.999884
38.3,630000,618280,111,125,78662,186281,0.999912
38.4,690000,567320,110,128,78662,186281,0.990569
38.5,675000,570000,111,132,78662,186281,0.992937
38.6,645000,600000,115,135,81558,185263,0.998695
38.7,660000,585000,107,140,77970,184751,0.996384
38.8,585000,675000,112,144,77970,184751,0.994924
38.9,645000,591360,112,142,77970,184751,0.998121
39,630000,620360,112,138,77970,184839,0.999941
39.1,630000,630000,110,146,77970,184839,1
39.2,600000,639000,111,146,77970,187735,0.99901
39.3,630000,618000,111,151,77970,187735,0.999908
39.4,630000,623800,111,136,77970,184839,0.999976
39.5,630000,617320,112,124,80866,184839,0.999897
39.6,720000,525000,102,132,77970,184839,0.976056
