Time,NewReno_1_Bps,Bbr_2_Bps,NewReno_1_PktLoss,Bbr_2_PktLoss,NewReno_1_Cwnd,Bbr_2_Cwnd,JainsFairnessIndex
25.7,1.04112e+06,210000,114,30,133804,85216,0.69382
25.8,1.02064e+06,225000,116,30,134509,86775,0.710233
25.9,1.04216e+06,210000,114,31,135199,86775,0.693642
26,1.01448e+06,225000,114,31,135874,86775,0.71139
26.1,1.02436e+06,225000,117,31,136579,86775,0.70954
26.2,1.03228e+06,225000,116,31,137269,86775,0.708079
26.3,1.02064e+06,225000,116,30,137959,86775,0.710233
26.4,1.02436e+06,225000,115,33,138634,89671,0.70954
26.5,1.01448e+06,225000,117,36,139324,89671,0.71139
26.6,979000,270000,118,32,139985,91551,0.756297
26.7,999120,255000,114,27,140587,98774,0.739616
26.8,1.06776e+06,180000,114,33,141245,103376,0.663919
26.9,1.01924e+06,225000,117,36,141903,103376,0.710495
27,994000,255000,117,37,142533,103376,0.740698
27.1,977600,270000,115,37,143135,103376,0.756612
27.2,981680,270000,117,36,143751,103376,0.755696
27.3,979000,270000,116,37,144367,104131,0.756297
27.4,977600,270000,116,37,144983,104131,0.756612
27.5,971440,270000,116,37,145585,104131,0.758007
27.6,982720,270000,118,37,146215,104131,0.755464
27.7,977600,270000,116,37,146817,104131,0.756612
27.8,976200,270000,115,37,147419,104131,0.756928
27.9,971440,270000,117,41,148035,107027,0.758007
28,972480,285000,117,44,148651,107027,0.769885
28.1,934560,315000,115,38,149225,108266,0.802671
28.2,928400,315000,115,32,149797,115015,0.804266
28.3,1.00564e+06,240000,116,37,150395,122492,0.725794
28.4,992600,255000,117,42,150980,122492,0.740996
28.5,949920,300000,117,43,151526,122492,0.787173
28.6,934560,315000,117,44,152072,122492,0.802671
28.7,929440,315000,117,44,152618,122492,0.803996
28.8,913400,330000,118,44,153151,123731,0.819574
28.9,939680,315000,118,45,153697,123731,0.801356
29,917800,330000,117,44,154230,123731,0.818394
29.1,913400,330000,118,44,154763,123731,0.819574
29.2,939680,315000,118,45,155309,123731,0.801356
29.3,917800,330000,117,45,155842,123731,0.818394
29.4,913400,330000,118,49,156375,126627,0.819574
29.5,913040,330000,120,54,156921,126627,0.819671
29.6,864880,390000,118,45,157415,126790,0.874732
29.7,905480,345000,78,40,100188,135506,0.832713
29.8,662360,570000,60,27,63053,94120,0.994415
29.9,765000,300000,52,32,63740,103403,0.839887
30,900000,360000,46,33,64604,110600,0.844828
30.1,885000,360000,46,34,65532,116879,0.849026
30.2,870000,375000,46,38,66431,125923,0.8635
30.3,840000,405000,49,39,67330,125923,0.891203
30.4,825000,420000,51,40,68180,125923,0.904306
30.5,825000,435000,50,39,68990,125923,0.912571
30.6,825000,420000,50,40,69800,128819,0.904306
30.7,825000,420000,51,48,70616,128819,0.904306
30.8,750000,495000,54,42,71370,128303,0.959738
30.9,810000,450000,50,36,72095,139718,0.924528
31,870000,375000,53,44,72943,142390,0.8635
31.1,810000,435000,53,47,73699,142390,0.916822
31.2,765000,480000,55,48,74427,142390,0.950207
31.3,780000,465000,55,49,75146,142390,0.939836
31.4,765000,495000,55,49,75821,142390,0.956098
31.5,765000,480000,56,49,76523,142390,0.950207
31.6,765000,480000,56,50,77198,142390,0.950207
31.7,765000,480000,57,51,77891,143163,0.950207
31.8,765000,495000,57,55,78541,146180,0.956098
31.9,735000,510000,60,61,79217,143284,0.968372
32,690000,555000,61,48,79815,148283,0.988379
32.1,780000,465000,57,49,80439,157586,0.939836
32.2,780000,465000,60,55,81122,157586,0.939836
32.3,765000,495000,59,58,81747,157586,0.956098
32.4,720000,525000,61,59,82372,157586,0.976056
32.5,720000,525000,62,60,82972,157586,0.976056
32.6,705000,540000,61,60,83547,157586,0.982739
32.7,720000,540000,62,61,84136,157586,0.98
32.8,705000,540000,63,61,84712,157586,0.982739
32.9,705000,540000,62,61,85264,157586,0.982739
33,705000,540000,64,70,85840,160482,0.982739
33.1,675000,570000,65,68,86392,158913,0.992937
33.2,660000,600000,64,57,86896,162634,0.997738
33.3,735000,513880,63,60,87468,170209,0.969605
33.4,735000,510000,64,65,88043,170209,0.968372
33.5,705000,540000,66,68,88595,170209,0.982739
33.6,675000,570000,67,70,89124,170209,0.992937
33.7,690000,570000,65,71,89630,170209,0.991011
33.8,660000,585000,66,71,90136,170209,0.996384
33.9,675000,570000,67,72,90665,170209,0.992937
34,660000,585000,67,74,91171,170209,0.996384
