Time,Bbr_1_Bps,Cubic_2_Bps,Bbr_1_PktLoss,Cubic_2_PktLoss,Bbr_1_Cwnd,Cubic_2_Cwnd,JainsFairnessIndex
23.6,600000,650040,44,83,72312,133216,0.9984
23.7,570000,674920,45,80,72312,133216,0.992947
23.8,600000,650040,46,85,72312,133216,0.9984
23.9,585000,665040,48,81,72312,133216,0.995917
24,600000,638400,50,83,75208,133216,0.999039
24.1,630000,622000,41,85,72312,133216,0.999959
24.2,540000,702960,46,81,72312,133216,0.983102
24.3,615000,643520,46,83,72312,133216,0.999487
24.4,585000,665040,47,81,72312,133216,0.995917
24.5,600000,643520,44,83,72312,133216,0.998777
24.6,555000,686560,46,79,72312,133216,0.988896
24.7,615000,643520,46,85,71690,133216,0.999487
24.8,585000,654800,48,81,71690,133216,0.99684
24.9,600000,658520,49,84,74586,133216,0.997843
25,615000,623400,42,85,71690,133216,0.999954
25.1,555000,701560,46,80,71690,133216,0.986579
25.2,615000,628520,45,85,71690,133216,0.999882
25.3,585000,665040,46,83,71690,133216,0.995917
25.4,585000,659920,46,83,71690,133216,0.996391
25.5,585000,665040,44,81,71690,133216,0.995917
25.6,585000,665040,45,83,71690,133216,0.995917
25.7,600000,638400,46,83,71690,133216,0.999039
25.8,585000,670160,48,83,74227,133216,0.995418
25.9,615000,638400,42,85,71331,133216,0.999652
26,540000,708080,46,77,71331,133216,0.982187
26.1,600000,638400,46,83,71331,133216,0.999039
26.2,600000,658520,47,82,72018,133216,0.997843
26.3,585000,650040,48,83,72018,133216,0.997234
26.4,600000,659920,43,81,72018,133216,0.997743
26.5,570000,665040,46,83,72018,133216,0.994113
26.6,615000,643520,46,85,72018,133216,0.999487
26.7,585000,659920,46,83,72018,133216,0.996391
26.8,600000,643520,44,83,72018,133216,0.998777
26.9,570000,681440,45,79,72018,133216,0.992133
27,600000,643520,46,85,72018,133216,0.998777
27.1,585000,665040,48,81,72018,133216,0.995917
27.2,615000,638400,49,85,74914,133216,0.999652
27.3,600000,643520,42,85,72018,133216,0.998777
27.4,555000,701560,46,80,72018,133216,0.986579
27.5,615000,628520,46,85,71370,133216,0.999882
27.6,585000,665040,46,83,71641,133216,0.995917
27.7,600000,648280,44,84,71641,133216,0.998506
27.8,570000,671560,44,79,72313,133216,0.993353
27.9,585000,670160,47,83,72313,133216,0.995418
28,600000,638400,48,83,72313,133216,0.999039
28.1,600000,659920,49,83,75209,133216,0.997743
28.2,615000,622000,41,85,72313,133216,0.999968
28.3,540000,708080,46,81,72313,133216,0.982187
28.4,615000,638400,46,83,72313,133216,0.999652
28.5,585000,658520,47,82,72313,133216,0.996517
28.6,600000,650040,47,83,72313,133216,0.9984
28.7,585000,659920,44,81,72313,133216,0.996391
28.8,585000,665040,46,83,72313,133216,0.995917
28.9,600000,658520,47,84,72313,133216,0.997843
29,600000,644920,48,83,75209,133216,0.9987
29.1,615000,622000,40,87,71851,133216,0.999968
29.2,525000,729600,46,77,71851,133216,0.974094
29.3,630000,616880,45,85,71851,133216,0.999889
29.4,570000,686560,47,81,71851,133216,0.991469
29.5,600000,643520,47,83,71665,133216,0.998777
29.6,600000,638400,43,83,71665,133216,0.999039
29.7,570000,686560,46,83,71665,133216,0.991469
29.8,615000,638400,46,83,71665,133216,0.999652
29.9,570000,665040,48,83,74561,133216,0.994113
30,615000,643520,42,83,71665,133216,0.999487
30.1,555000,686560,45,79,72077,133216,0.988896
30.2,600000,643520,46,85,72077,133216,0.998777
30.3,585000,665040,47,83,72077,133216,0.995917
30.4,615000,633280,48,85,72077,133216,0.999786
30.5,585000,665040,43,83,72077,133216,0.995917
30.6,570000,680040,46,84,72077,133216,0.99231
30.7,615000,638400,46,84,72077,133216,0.999652
30.8,570000,671560,47,81,74973,133216,0.993353
30.9,615000,638400,42,83,72077,133216,0.999652
31,555000,691680,46,79,72077,133216,0.988123
31.1,600000,653400,9,82,5792,133216,0.998188
31.2,60000,1.08452e+06,13,59,5792,133216,0.555155
31.3,120000,943760,10,59,5792,133216,0.625128
31.4,150000,847440,22,79,72958,133216,0.671627
31.5,450000,799280,35,73,65021,133216,0.927499
31.6,525000,717960,34,76,65960,133216,0.976467
31.7,525000,719720,36,79,65960,133216,0.976112
31.8,540000,708080,37,77,66908,133216,0.982187
31.9,540000,708080,42,79,69804,133216,0.982187
32,585000,665040,38,81,68455,133216,0.995917
32.1,525000,723080,43,78,71849,133216,0.975431
32.2,600000,650040,44,83,71849,133216,0.9984
32.3,585000,665040,46,81,72866,133216,0.995917
32.4,600000,653400,47,84,72866,133216,0.998188
32.5,585000,655160,45,81,74393,133216,0.99681
32.6,585000,665040,48,85,74393,133216,0.995917
32.7,615000,633280,50,83,74393,133216,0.999786
32.8,600000,648640,51,83,77289,133216,0.998485
32.9,630000,616880,43,85,74393,133216,0.999889
33,555000,696440,48,80,74393,133216,0.987387
33.1,630000,616880,48,86,74393,133216,0.999889
33.2,585000,665040,50,82,74393,133216,0.995917
33.3,615000,628520,49,85,74393,133216,0.999882
33.4,615000,638400,45,83,74393,133216,0.999652
33.5,585000,665040,48,83,74393,133216,0.995917
33.6,615000,631880,48,84,74393,133216,0.999817
33.7,585000,650040,49,83,77289,133216,0.997234
33.8,615000,638400,44,83,72969,133216,0.999652
33.9,570000,686560,46,79,72969,133216,0.991469
34,600000,638400,48,83,72969,133216,0.999039
34.1,600000,648640,48,83,73346,133216,0.998485
34.2,615000,633280,50,83,76242,133216,0.999786
34.3,615000,637000,43,86,73346,133216,0.999691
34.4,555000,693080,47,81,73346,133216,0.987908
34.5,615000,638400,48,83,73346,133216,0.999652
34.6,600000,643520,47,83,73346,133216,0.998777
34.7,600000,638400,45,83,73346,133216,0.999039
34.8,570000,686560,47,79,73346,133216,0.991469
34.9,615000,638400,47,83,73346,133216,0.999652
35,600000,643520,48,83,73346,133216,0.998777
35.1,600000,638400,50,85,76242,133216,0.999039
35.2,615000,643520,42,83,73346,133216,0.999487
35.3,555000,686560,47,81,73346,133216,0.988896
35.4,615000,643520,48,83,73346,133216,0.999487
35.5,600000,638400,47,83,72619,133216,0.999039
35.6,600000,643520,45,85,72619,133216,0.998777
35.7,570000,681440,45,79,72680,133216,0.992133
35.8,600000,658520,47,84,72680,133216,0.997843
35.9,600000,638400,49,82,74324,133216,0.999039
36,600000,650040,51,83,77220,133216,0.9984
36.1,630000,616880,43,85,74324,133216,0.999889
36.2,555000,701560,49,78,74324,133216,0.986579
36.3,630000,607000,48,85,74324,133216,0.999654
36.4,600000,659920,48,83,74324,133216,0.997743
36.5,600000,643520,49,83,74324,133216,0.998777
36.6,600000,638400,46,83,74324,133216,0.999039
36.7,585000,670160,49,83,74324,133216,0.995418
36.8,630000,611760,48,85,74324,133216,0.999784
36.9,585000,670160,50,83,77220,133216,0.995418
37,615000,638400,45,83,74324,133216,0.999652
37.1,570000,674920,48,78,74324,133216,0.992947
37.2,615000,623400,48,85,72995,133216,0.999954
37.3,600000,658520,48,82,73196,133216,0.997843
37.4,600000,650040,50,83,76092,133216,0.9984
37.5,615000,631880,43,84,73196,133216,0.999817
37.6,570000,671560,47,83,73196,133216,0.993353
37.7,615000,638400,47,83,73346,133216,0.999652
37.8,585000,658520,48,82,73346,133216,0.996517
37.9,600000,650040,46,83,73346,133216,0.9984
38,585000,659920,47,79,73346,133216,0.996391
38.1,600000,648640,48,85,73346,133216,0.998485
38.2,600000,648280,49,82,73346,133216,0.998506
38.3,600000,650040,50,83,76242,133216,0.9984
38.4,630000,616880,42,85,73346,133216,0.999889
38.5,555000,686560,47,83,73346,133216,0.988896
38.6,615000,643520,47,85,73346,133216,0.999487
38.7,585000,665040,48,81,73569,133216,0.995917
38.8,600000,643520,47,83,73569,133216,0.998777
38.9,600000,654800,46,79,73569,133216,0.998096
39,600000,643520,47,85,73569,133216,0.998777
39.1,600000,638400,48,83,73569,133216,0.999039
39.2,600000,658520,49,84,76465,133216,0.997843
39.3,615000,623400,43,85,73569,133216,0.999954
