Time,Dctcp_1_Bps,Dctcp_2_Bps,Dctcp_1_PktLoss,Dctcp_2_PktLoss,Dctcp_1_Cwnd,Dctcp_2_Cwnd,JainsFairnessIndex
18.2,731200.0,519600.0,269.0,342.0,156776.0,133017.0,0.972177
18.3,267520.0,985360.0,284.0,283.0,130440.0,132996.0,0.752857
18.4,967240.0,268160.0,274.0,282.0,142096.0,132996.0,0.757454
18.5,1082400.0,167720.0,328.0,263.0,156729.0,132996.0,0.651319
18.6,1258120.0,0.0,327.0,263.0,158177.0,132996.0,0.5
18.7,1245400.0,0.0,324.0,263.0,159625.0,132996.0,0.5
18.8,1241040.0,0.0,324.0,263.0,161073.0,132996.0,0.5
18.9,1246160.0,0.0,326.0,263.0,161073.0,132996.0,0.5
19.0,1257440.0,0.0,326.0,263.0,162521.0,132996.0,0.5
19.1,1247200.0,0.0,328.0,263.0,163969.0,132996.0,0.5
19.2,1235920.0,0.0,332.0,263.0,165417.0,132996.0,0.5
19.3,1258480.0,0.0,332.0,263.0,165417.0,132996.0,0.5
19.4,1238000.0,0.0,332.0,264.0,166865.0,1448.0,0.5
19.5,1236960.0,15000.0,332.0,265.0,168313.0,2896.0,0.512125
19.6,1216480.0,30000.0,332.0,263.0,168313.0,2896.0,0.524646
19.7,1188800.0,60000.0,330.0,263.0,169761.0,5792.0,0.550343
19.8,1251280.0,0.0,324.0,271.0,171209.0,11584.0,0.5
19.9,1121120.0,117680.0,330.0,278.0,171209.0,21720.0,0.603823
20.0,1030600.0,225000.0,331.0,291.0,172657.0,41992.0,0.708387
20.1,820280.0,420000.0,348.0,295.0,174105.0,65160.0,0.905668
20.2,1247640.0,0.0,329.0,319.0,174105.0,82536.0,0.5
20.3,690960.0,555000.0,284.0,336.0,174088.0,85421.0,0.988233
20.4,450720.0,800960.0,267.0,321.0,174088.0,85421.0,0.927388
20.5,416800.0,832160.0,316.0,330.0,174088.0,88317.0,0.9004150000000001
20.6,874720.0,375000.0,340.0,320.0,175536.0,88317.0,0.862149
20.7,720000.0,525000.0,300.0,342.0,155672.0,89765.0,0.9760560000000001
20.8,548400.0,705000.0,262.0,321.0,175523.0,89765.0,0.98463
20.9,139520.0,1110000.0,346.0,327.0,176971.0,92661.0,0.623739
21.0,1244960.0,0.0,346.0,345.0,176971.0,92661.0,0.5
21.1,335720.0,915000.0,346.0,314.0,176971.0,92652.0,0.8233739999999999
21.2,893040.0,345000.0,313.0,293.0,176959.0,92652.0,0.8361519999999999
21.3,687880.0,94880.0,365.0,286.0,171168.0,92652.0,0.635356
21.4,846440.0,0.0,374.0,286.0,178407.0,92652.0,0.5
21.5,1050000.0,0.0,308.0,286.0,178404.0,92652.0,0.5
21.6,657400.0,0.0,360.0,286.0,179852.0,92652.0,0.5
21.7,1253640.0,0.0,380.0,286.0,179852.0,92652.0,0.5
21.8,1246440.0,0.0,380.0,286.0,181300.0,92652.0,0.5
21.9,1245040.0,0.0,382.0,286.0,182748.0,92652.0,0.5
22.0,1245040.0,0.0,382.0,286.0,182748.0,92652.0,0.5
22.1,1260040.0,0.0,383.0,286.0,184196.0,92652.0,0.5
22.2,1241320.0,0.0,382.0,287.0,185644.0,1448.0,0.5
22.3,1234800.0,15000.0,384.0,286.0,185644.0,1448.0,0.512146
