Time,Flow1_NewReno_Bps,Flow2_Cubic_Bps,Flow3_Bbr_Bps,Flow4_Dctcp_Bps,Flow1_PktLoss,Flow2_PktLoss,Flow3_PktLoss,Flow4_PktLoss,Flow1_Cwnd,Flow2_Cwnd,Flow3_Cwnd,Flow4_Cwnd,JainsFairnessIndex
8.0,465000.0,405000.0,375000.0,0.0,100.0,66.0,32.0,60.0,74356.0,55650.0,53596.0,72222.0,0.7439519999999998
8.1,467280.0,195000.0,150000.0,435000.0,106.0,72.0,48.0,32.0,75804.0,57098.0,56492.0,72222.0,0.8308620000000001
8.2,401640.0,345000.0,225000.0,285000.0,100.0,67.0,39.0,55.0,75804.0,56472.0,56492.0,76632.0,0.9577779999999999
8.3,501040.0,240000.0,300000.0,195000.0,108.0,73.0,46.0,44.0,74394.0,56331.0,53725.0,67643.0,0.874693
8.4,331400.0,330000.0,150000.0,448880.0,103.0,67.0,42.0,48.0,74394.0,56331.0,53725.0,70539.0,0.896904
8.5,513320.0,300000.0,405000.0,26640.0,112.0,66.0,31.0,58.0,77290.0,56331.0,53725.0,70539.0,0.7476980000000001
8.6,423760.0,240000.0,60000.0,525000.0,100.0,74.0,50.0,37.0,77290.0,57779.0,56621.0,71987.0,0.7549420000000001
8.7,420000.0,300000.0,435000.0,90000.0,116.0,74.0,33.0,62.0,76026.0,55857.0,54021.0,67976.0,0.835638
8.8,555000.0,240000.0,105000.0,345000.0,105.0,80.0,51.0,40.0,76026.0,55857.0,54021.0,67976.0,0.781775
8.9,367480.0,330000.0,240000.0,315000.0,112.0,74.0,39.0,53.0,78922.0,57305.0,54021.0,67976.0,0.9785660000000002
9.0,554440.0,270000.0,315000.0,105000.0,111.0,79.0,49.0,61.0,77712.0,58753.0,55469.0,67976.0,0.7892259999999999
9.1,255000.0,375000.0,195000.0,420000.0,119.0,70.0,41.0,53.0,77712.0,58753.0,56917.0,69424.0,0.922469
9.2,507680.0,255000.0,300000.0,188080.0,101.0,74.0,41.0,63.0,77712.0,60201.0,56917.0,70872.0,0.872722
9.3,245720.0,375000.0,180000.0,450000.0,84.0,81.0,47.0,44.0,77712.0,58441.0,54620.0,70872.0,0.89716
9.4,60000.0,510000.0,405000.0,270000.0,80.0,67.0,42.0,59.0,77712.0,59889.0,54620.0,72320.0,0.774045
9.5,0.0,390000.0,345000.0,525000.0,80.0,74.0,43.0,46.0,77712.0,61337.0,56068.0,72320.0,0.725926
9.6,0.0,525000.0,360000.0,360000.0,80.0,76.0,46.0,49.0,77712.0,62785.0,57516.0,73768.0,0.724548
9.7,0.0,495000.0,345000.0,405000.0,80.0,75.0,46.0,50.0,77712.0,62785.0,58964.0,73768.0,0.733809
9.8,0.0,480000.0,375000.0,390000.0,80.0,76.0,47.0,49.0,77712.0,64233.0,58964.0,75216.0,0.7407530000000001
9.9,0.0,480000.0,360000.0,405000.0,80.0,79.0,44.0,52.0,77712.0,65681.0,60412.0,75216.0,0.73948
10.0,0.0,525000.0,345000.0,390000.0,80.0,77.0,49.0,49.0,77712.0,67129.0,60412.0,76664.0,0.725926
10.1,0.0,480000.0,390000.0,375000.0,80.0,77.0,46.0,54.0,77712.0,67129.0,61860.0,76664.0,0.7407530000000001
10.2,0.0,480000.0,345000.0,420000.0,81.0,80.0,50.0,51.0,1448.0,68577.0,63308.0,78112.0,0.736949
10.3,15000.0,480000.0,405000.0,345000.0,82.0,81.0,45.0,56.0,2896.0,70025.0,63308.0,78112.0,0.7543799999999999
10.4,30000.0,480000.0,330000.0,420000.0,84.0,81.0,50.0,51.0,5792.0,70025.0,64756.0,79560.0,0.768293
10.5,57520.0,465000.0,375000.0,345000.0,80.0,85.0,49.0,56.0,5792.0,71473.0,64756.0,79560.0,0.805462
10.6,0.0,510000.0,345000.0,390000.0,85.0,82.0,53.0,55.0,8688.0,72921.0,66204.0,81008.0,0.729458
10.7,75000.0,435000.0,360000.0,375000.0,91.0,83.0,49.0,54.0,15928.0,72921.0,66204.0,81008.0,0.833212
10.8,165000.0,420000.0,330000.0,345000.0,100.0,86.0,52.0,58.0,30408.0,74369.0,67652.0,82456.0,0.919708
10.9,150000.0,435000.0,315000.0,345000.0,90.0,87.0,53.0,61.0,30408.0,74369.0,67652.0,82456.0,0.90123
11.0,150000.0,450000.0,330000.0,315000.0,120.0,84.0,52.0,59.0,59368.0,75817.0,69100.0,83904.0,0.894675
11.1,435000.0,300000.0,225000.0,285000.0,124.0,90.0,59.0,64.0,76595.0,75817.0,69100.0,83904.0,0.942666
11.2,180000.0,450000.0,300000.0,330000.0,120.0,90.0,58.0,63.0,76595.0,76289.0,67637.0,81605.0,0.9149379999999999
11.3,360000.0,270000.0,300000.0,315000.0,146.0,91.0,59.0,59.0,75847.0,76289.0,67637.0,81605.0,0.98923
11.4,300000.0,390000.0,285000.0,270000.0,146.0,99.0,63.0,53.0,75847.0,76289.0,67637.0,81605.0,0.977995
11.5,300000.0,318160.0,270000.0,360000.0,158.0,87.0,59.0,60.0,71296.0,76289.0,67637.0,81605.0,0.9892059999999999
11.6,485520.0,420600.0,283400.0,65480.0,139.0,101.0,61.0,68.0,65160.0,75385.0,67714.0,81605.0,0.791888
11.7,165000.0,363680.0,255000.0,450440.0,136.0,90.0,68.0,57.0,72400.0,75385.0,67714.0,79509.0,0.890863
