Time,Flow1_Bbr_Bps,Flow2_Cubic_Bps,Flow1_PktLoss,Flow2_PktLoss,Flow1_Cwnd,Flow2_Cwnd,JainsFairnessIndex
22.5,620000.0,624053.3333333334,46.0,84.66666666666667,75187.0,133216.0,0.9992403333333334
22.6,580000.0,676093.3333333334,46.666666666666664,82.33333333333333,74221.66666666667,133216.0,0.9892416666666666
22.7,600000.0,641226.6666666666,48.333333333333336,83.0,74221.66666666667,133216.0,0.996185
22.8,605000.0,647866.6666666666,48.0,83.0,74221.66666666667,133216.0,0.9977459999999999
22.9,600000.0,643400.0,48.666666666666664,83.33333333333333,74769.66666666667,133216.0,0.9987553333333333
23.0,610000.0,636813.3333333334,45.333333333333336,83.66666666666667,73804.33333333333,133216.0,0.9985626666666668
23.1,580000.0,670506.6666666666,47.0,82.33333333333333,73804.33333333333,133216.0,0.9946556666666667
23.2,605000.0,644640.0,48.0,83.66666666666667,73804.33333333333,133216.0,0.9988853333333333
23.3,600000.0,646160.0,48.666666666666664,83.66666666666667,75735.0,133216.0,0.9983873333333334
23.4,610000.0,639640.0,45.0,84.66666666666667,74549.0,133216.0,0.999085
23.5,580000.0,665506.6666666666,45.333333333333336,81.0,73227.0,133216.0,0.993327
23.6,595000.0,654453.3333333334,46.666666666666664,83.0,73227.0,133216.0,0.9960666666666667
23.7,595000.0,653986.6666666666,47.666666666666664,82.66666666666667,73227.0,133216.0,0.996913
23.8,600000.0,651160.0,48.666666666666664,83.0,73682.66666666667,133216.0,0.9979896666666667
23.9,605000.0,639640.0,45.0,82.66666666666667,72717.33333333333,133216.0,0.9991236666666667
24.0,580000.0,672680.0,45.666666666666664,82.33333333333333,72717.33333333333,133216.0,0.9940006666666666
24.1,595000.0,646813.3333333334,47.333333333333336,83.33333333333333,72717.33333333333,133216.0,0.997569
24.2,600000.0,652280.0,48.0,84.33333333333333,74180.66666666667,133216.0,0.9974353333333333
