Time,Flow1_NewReno_Bps,Flow2_Cubic_Bps,Flow1_PktLoss,Flow2_PktLoss,Flow1_Cwnd,Flow2_Cwnd,JainsFairnessIndex
33.6,705000.0,547200.0,72.0,95.0,111107.0,133216.0,0.984368
33.7,705000.0,547200.0,74.0,97.0,111539.0,133216.0,0.984368
33.8,690000.0,552320.0,76.0,97.0,111971.0,133216.0,0.987867
33.9,720000.0,530800.0,74.0,95.0,112385.0,133216.0,0.977631
34.0,705000.0,542080.0,73.0,95.0,112799.0,133216.0,0.983219
34.1,720000.0,530800.0,74.0,97.0,113231.0,133216.0,0.977631
34.2,690000.0,547200.0,76.0,97.0,113663.0,133216.0,0.986853
34.3,705000.0,552320.0,75.0,97.0,114077.0,133216.0,0.985468
34.4,705000.0,547200.0,75.0,95.0,114491.0,133216.0,0.984368
34.5,720000.0,525680.0,75.0,95.0,114923.0,133216.0,0.976244
34.6,720000.0,519160.0,75.0,98.0,115355.0,133216.0,0.974403
34.7,705000.0,547200.0,76.0,59.0,115787.0,92672.0,0.984368
34.8,720000.0,534520.0,77.0,16.0,116219.0,92672.0,0.978608
34.9,1215000.0,22920.0,68.0,74.0,116846.0,92672.0,0.518857
35.0,1125000.0,133560.0,76.0,67.0,117543.0,92672.0,0.61707
35.1,480000.0,766240.0,68.0,47.0,117747.0,95568.0,0.9498890000000001
35.2,1065000.0,180000.0,77.0,66.0,118427.0,97016.0,0.66432
35.3,630000.0,615000.0,80.0,48.0,118801.0,98464.0,0.999855
35.4,975000.0,270000.0,75.0,77.0,119311.0,102808.0,0.757199
35.5,720000.0,540000.0,77.0,57.0,119736.0,102808.0,0.98
35.6,795000.0,450000.0,76.0,63.0,120178.0,105704.0,0.928687
35.7,825000.0,420000.0,80.0,61.0,120671.0,108600.0,0.904306
35.8,825000.0,420000.0,77.0,68.0,121113.0,110048.0,0.904306
35.9,780000.0,480000.0,79.0,69.0,121572.0,111496.0,0.946352
36.0,750000.0,495000.0,80.0,65.0,121997.0,112944.0,0.9597380000000001
36.1,810000.0,435000.0,80.0,68.0,122456.0,115840.0,0.9168220000000001
36.2,765000.0,480000.0,81.0,69.0,122898.0,117288.0,0.9502070000000001
36.3,780000.0,465000.0,82.0,71.0,123340.0,118736.0,0.939836
36.4,765000.0,495000.0,81.0,71.0,123740.0,120184.0,0.956098
36.5,750000.0,495000.0,81.0,71.0,124140.0,121632.0,0.9597380000000001
36.6,780000.0,465000.0,80.0,73.0,124540.0,123080.0,0.939836
