Time,Flow1_Bbr_Bps,Flow2_Cubic_Bps,Flow1_PktLoss,Flow2_PktLoss,Flow1_Cwnd,Flow2_Cwnd,JainsFairnessIndex
31.2,270000,976560,29,119,41705,133216,0.756847
31.3,300000,958760,29,118,41705,133216,0.785
31.4,285000,955040,28,120,41705,133216,0.774015
31.5,300000,945160,25,119,41705,133216,0.788356
31.6,240000,1.01344e+06,29,121,41705,133216,0.724241
31.7,285000,955040,29,119,41705,133216,0.774015
31.8,300000,960160,28,119,41705,133216,0.784659
31.9,285000,960160,27,121,41705,133216,0.772791
32,300000,943760,25,119,41705,133216,0.788705
32.1,255000,996680,27,122,41705,133216,0.740131
32.2,270000,981680,29,118,41705,133216,0.755696
32.3,300000,938640,28,120,41705,133216,0.789989
32.4,285000,971800,27,121,41705,133216,0.770044
32.5,300000,938640,25,119,40990,133216,0.789989
32.6,255000,1.0032e+06,27,119,40990,133216,0.73876
32.7,270000,970400,29,119,40990,133216,0.758244
32.8,300000,955040,28,119,40990,133216,0.785911
32.9,270000,965280,30,121,43886,133216,0.759415
33,315000,933520,25,121,40990,133216,0.80294
33.1,240000,1.00832e+06,28,121,40990,133216,0.725258
33.2,300000,960160,28,119,40990,133216,0.784659
33.3,285000,960160,28,119,40990,133216,0.772791
33.4,270000,980280,30,120,43886,133216,0.75601
33.5,315000,933520,25,120,40990,133216,0.80294
33.6,240000,998440,29,121,40990,133216,0.727245
33.7,300000,955040,28,119,40990,133216,0.785911
33.8,270000,970400,28,121,40990,133216,0.758244
33.9,285000,970040,30,120,43886,133216,0.770457
34,315000,923640,24,121,40990,133216,0.805508
34.1,225000,1.03496e+06,29,119,40649,133216,0.707589
34.2,300000,948520,28,120,40649,133216,0.78752
34.3,285000,960160,28,120,40649,133216,0.772791
34.4,270000,966680,31,119,43545,133216,0.759094
34.5,315000,943760,25,121,40649,133216,0.800315
34.6,240000,1.0032e+06,29,119,40676,133216,0.726284
34.7,285000,960160,13,119,5792,133216,0.772791
34.8,105000,1.14768e+06,10,113,5792,133216,0.590729
34.9,60000,1.19072e+06,10,113,5792,133216,0.550262
35,60000,1.19072e+06,11,113,79354,133216,0.550262
35.1,105000,1.13744e+06,29,121,79354,133216,0.591533
35.2,285000,965280,34,119,75872,133216,0.771577
35.3,345000,905480,31,120,92782,133216,0.832713
35.4,300000,945160,36,121,92782,133216,0.788356
35.5,345000,895600,38,121,92782,133216,0.83544
35.6,375000,868960,38,123,92782,133216,0.863798
35.7,360000,895600,39,121,94098,133216,0.846052
35.8,375000,878840,39,120,94286,133216,0.860975
35.9,375000,864200,40,121,94286,133216,0.865169
36,390000,858720,40,123,97182,133216,0.876505
36.1,375000,879200,47,123,98413,133216,0.860873
36.2,435000,804960,39,110,100493,137556,0.918256
36.3,360000,897560,41,36,55024,92672,0.845506
36.4,600000,568920,27,75,46411,95568,0.999294
36.5,345000,914520,33,79,50731,98464,0.830248
36.6,390000,855000,35,81,51068,99912,0.87758
36.7,405000,840000,35,82,51068,101360,0.891203
36.8,390000,855000,35,81,51068,104256,0.87758
36.9,405000,855000,36,86,51068,107152,0.886878
37,390000,855000,36,88,51068,108600,0.87758
37.1,390000,855000,39,88,53964,110048,0.87758
37.2,405000,840000,34,92,51068,112944,0.891203
37.3,330000,915000,38,90,51068,114392,0.819144
37.4,405000,855000,37,92,51068,115840,0.886878
37.5,390000,855000,35,94,51068,117288,0.87758
37.6,345000,900000,35,95,51068,118736,0.834221
37.7,345000,900000,39,92,51068,120184,0.834221
37.8,405000,855000,36,96,51068,121632,0.886878
37.9,330000,915000,36,98,51068,123080,0.819144
38,345000,900000,40,97,53964,124528,0.834221
38.1,405000,840000,31,99,48255,124528,0.891203
38.2,270000,975000,35,99,48255,125976,0.757199
38.3,345000,915000,37,97,48255,127424,0.830118
38.4,360000,885000,35,101,48255,128872,0.849026
38.5,315000,930000,35,101,48255,128872,0.803851
38.6,345000,900000,36,100,48255,130320,0.834221
38.7,330000,930000,34,102,48255,130320,0.815157
38.8,300000,945000,34,114,45153,131768,0.788396
38.9,300000,938600,37,127,48049,131768,0.789999
39,345000,912000,31,127,45153,131768,0.830932
39.1,270000,976560,35,125,45153,133216,0.756847
39.2,345000,901760,34,127,45153,133216,0.833736
39.3,300000,953640,33,128,45153,133216,0.786255
39.4,285000,956440,34,127,45153,133216,0.773679
39.5,345000,901760,33,125,45153,133216,0.833736
39.6,300000,955040,32,127,45153,133216,0.785911
39.7,285000,960160,30,125,40384,133216,0.772791
39.8,285000,955040,31,127,43280,133216,0.774015
39.9,300000,959800,28,126,40384,133216,0.784746
40,240000,1.0032e+06,31,126,40384,133216,0.726284
40.1,315000,934920,29,127,40384,133216,0.802579
40.2,255000,986440,30,126,40384,133216,0.742313
40.3,270000,986800,33,126,43280,133216,0.754555
40.4,300000,940040,28,127,38426,133216,0.789637
40.5,240000,1.00936e+06,29,125,38426,133216,0.725051
40.6,270000,976560,31,123,38426,133216,0.756847
40.7,285000,965280,29,127,38426,133216,0.771577
40.8,255000,992960,30,127,38426,133216,0.740919
40.9,300000,944800,27,125,38426,133216,0.788445
41,240000,1.01344e+06,29,127,38426,133216,0.724241
41.1,255000,992960,30,125,38426,133216,0.740919
41.2,285000,959800,30,126,38426,133216,0.772877
41.3,270000,971800,27,127,37171,133216,0.757925
41.4,240000,1.0196e+06,29,123,37171,133216,0.723029
41.5,270000,971440,28,125,37171,133216,0.758007
41.6,255000,992960,28,125,37171,133216,0.740919
41.7,255000,986800,31,125,40067,133216,0.742235
41.8,285000,971440,26,127,37171,133216,0.770129
41.9,225000,1.0196e+06,29,125,37171,133216,0.710428
42,270000,975160,29,126,36209,133216,0.757163
42.1,270000,977960,28,127,36209,133216,0.756531
42.2,255000,998080,30,127,39105,133216,0.739835
42.3,285000,964920,25,126,36209,133216,0.771662
42.4,210000,1.04148e+06,29,125,36209,133216,0.693758
42.5,270000,966320,29,125,36209,133216,0.759177
42.6,270000,986440,28,126,36209,133216,0.754635
42.7,255000,986800,27,128,36209,133216,0.742235
42.8,240000,1.0046e+06,29,123,35516,133216,0.726002
42.9,270000,986440,27,126,35516,133216,0.754635
43,240000,1.0046e+06,27,125,35516,133216,0.726002
43.1,240000,1.0032e+06,31,125,38412,133216,0.726284
43.2,285000,964920,25,126,35516,133216,0.771662
43.3,210000,1.04764e+06,29,123,35516,133216,0.692707
43.4,270000,976560,28,123,35516,133216,0.756847
43.5,255000,981680,27,127,35516,133216,0.74334
43.6,240000,1.0196e+06,29,127,38412,133216,0.723029
43.7,270000,976560,26,123,35516,133216,0.756847
43.8,225000,1.0182e+06,27,128,35516,133216,0.71069
43.9,240000,1.0046e+06,29,125,35516,133216,0.726002
44,270000,986440,28,126,35516,133216,0.754635
44.1,255000,992960,26,126,35516,133216,0.740919
44.2,240000,998440,27,123,35516,133216,0.727245
44.3,255000,992960,27,127,34828,133216,0.740919
44.4,240000,1.0196e+06,28,127,34828,133216,0.723029
44.5,255000,991560,30,124,37724,133216,0.741217
44.6,270000,966680,25,127,34828,133216,0.759094
44.7,210000,1.036e+06,28,125,34828,133216,0.694703
44.8,255000,992960,28,125,34828,133216,0.740919
44.9,255000,1.0018e+06,28,126,34828,133216,0.739053
