Time,NewReno_1_Bps,Cubic_2_Bps,NewReno_1_PktLoss,Cubic_2_PktLoss,NewReno_1_Cwnd,Cubic_2_Cwnd,JainsFairnessIndex
24.3,660000,585000,41,58,63538,111496,0.996384
24.4,630000,630000,42,58,64210,114392,1
24.5,645000,600000,43,61,64914,115840,0.998695
24.6,630000,615000,44,61,65585,117288,0.999855
24.7,615000,630000,45,60,66236,118736,0.999855
24.8,630000,615000,44,62,66856,120184,0.999855
24.9,645000,615000,45,64,67538,121632,0.999433
25,600000,645000,46,64,68142,123080,0.998695
25.1,630000,615000,48,66,68802,124528,0.999855
25.2,615000,630000,47,65,69402,125976,0.999855
25.3,630000,630000,48,67,70028,125976,1
25.4,615000,630000,47,68,70608,127424,0.999855
25.5,600000,645000,48,68,71188,128872,0.998695
25.6,630000,615000,48,69,71797,128872,0.999855
25.7,615000,630000,47,70,72375,130320,0.999855
25.8,615000,645000,47,69,72935,130320,0.999433
25.9,600000,645000,49,74,73523,131768,0.998695
26,600000,645000,50,87,74083,131768,0.998695
26.1,615000,640600,49,90,74643,131768,0.999584
26.2,600000,635040,51,90,75219,133216,0.999196
26.3,630000,627640,50,89,75759,133216,0.999996
26.4,615000,637000,49,92,76299,133216,0.999691
26.5,600000,644920,52,89,76866,133216,0.9987
26.6,645000,595360,51,91,77433,133216,0.998401
26.7,615000,643520,50,91,77962,133216,0.999487
26.8,600000,638400,53,89,78508,133216,0.999039
26.9,630000,616880,53,91,79054,133216,0.999889
27,630000,616880,51,91,79574,133216,0.999889
27.1,615000,638400,53,91,80120,133216,0.999652
27.2,630000,615480,53,90,80666,133216,0.999864
27.3,645000,601880,53,93,81191,133216,0.998805
27.4,630000,616880,53,93,81716,133216,0.999889
27.5,600000,653400,55,90,82241,133216,0.998188
27.6,630000,612120,56,91,82766,133216,0.999793
27.7,645000,611760,55,89,83291,133216,0.999301
27.8,645000,595360,54,93,83816,133216,0.998401
27.9,630000,622000,57,91,84347,133216,0.999959
28,645000,611760,58,91,84875,133216,0.999301
28.1,645000,595360,57,93,85379,133216,0.998401
28.2,660000,595360,54,93,85859,133216,0.997356
28.3,630000,616880,56,93,86387,133216,0.999889
28.4,615000,631880,60,90,86915,133216,0.999817
28.5,660000,585480,58,91,87417,133216,0.996433
28.6,645000,605240,57,92,87900,133216,0.99899
28.7,660000,585480,58,95,88406,133216,0.996433
28.8,645000,605240,59,92,88912,133216,0.99899
28.9,630000,607000,59,93,89395,133216,0.999654
29,645000,616880,61,89,89901,133216,0.999504
29.1,675000,573840,60,91,90407,133216,0.993481
29.2,645000,590240,61,91,90913,133216,0.998039
29.3,675000,573840,59,95,91386,133216,0.993481
29.4,660000,595360,59,95,91870,133216,0.997356
29.5,645000,595360,60,93,92354,133216,0.998401
29.6,645000,605240,62,92,92838,133216,0.99899
29.7,660000,585480,62,89,93322,133216,0.996433
29.8,675000,573840,63,93,93828,133216,0.993481
29.9,660000,590240,64,91,94312,133216,0.996896
30,675000,573840,63,93,94796,133216,0.993481
30.1,690000,567320,61,96,95280,133216,0.990569
30.2,645000,596760,63,95,95744,133216,0.998493
30.3,690000,552320,61,97,96206,133216,0.987867
30.4,660000,600480,63,95,96689,133216,0.997775
30.5,645000,590240,65,93,97151,133216,0.998039
30.6,690000,562200,65,96,97634,133216,0.989691
30.7,660000,585480,65,93,98096,133216,0.996433
30.8,660000,590240,68,91,98579,133216,0.996896
30.9,690000,562200,66,94,99041,133216,0.989691
31,690000,558840,64,93,99503,133216,0.98909
31.1,660000,578960,67,95,99980,133216,0.99574
31.2,690000,563600,65,95,100420,133216,0.989936
31.3,675000,573840,66,93,100880,133216,0.993481
31.4,675000,573840,65,95,101320,133216,0.993481
31.5,705000,547200,65,97,101780,133216,0.984368
31.6,660000,578960,67,95,102240,133216,0.99574
31.7,690000,563600,67,93,102700,133216,0.989936
31.8,690000,552320,68,95,103160,133216,0.987867
31.9,705000,547200,65,99,103600,133216,0.984368
32,660000,595360,67,93,104060,133216,0.997356
32.1,690000,552320,68,95,104520,133216,0.987867
32.2,705000,547200,69,95,104992,133216,0.984368
32.3,690000,552320,67,97,105410,133216,0.987867
32.4,675000,573840,71,95,105866,133216,0.993481
32.5,690000,557080,69,96,106284,133216,0.988767
32.6,690000,558840,69,93,106721,133216,0.98909
32.7,720000,530800,70,97,107177,133216,0.977631
32.8,675000,568720,71,97,107614,133216,0.992751
32.9,690000,562200,71,94,108051,133216,0.989691
33,690000,558840,71,95,108488,133216,0.98909
33.1,720000,525680,72,95,108944,133216,0.976244
33.2,705000,547200,71,97,109381,133216,0.984368
33.3,690000,552320,71,97,109818,133216,0.987867
33.4,690000,562200,72,94,110255,133216,0.989691
33.5,705000,537320,71,97,110675,133216,0.982108
33.6,705000,547200,72,95,111107,133216,0.984368
33.7,705000,547200,74,97,111539,133216,0.984368
33.8,690000,552320,76,97,111971,133216,0.987867
33.9,720000,530800,74,95,112385,133216,0.977631
34,705000,542080,73,95,112799,133216,0.983219
34.1,720000,530800,74,97,113231,133216,0.977631
34.2,690000,547200,76,97,113663,133216,0.986853
34.3,705000,552320,75,97,114077,133216,0.985468
34.4,705000,547200,75,95,114491,133216,0.984368
34.5,720000,525680,75,95,114923,133216,0.976244
34.6,720000,519160,75,98,115355,133216,0.974403
34.7,705000,547200,76,59,115787,92672,0.984368
34.8,720000,534520,77,16,116219,92672,0.978608
34.9,1.215e+06,22920,68,74,116846,92672,0.518857
35,1.125e+06,133560,76,67,117543,92672,0.61707
35.1,480000,766240,68,47,117747,95568,0.949889
35.2,1.065e+06,180000,77,66,118427,97016,0.66432
35.3,630000,615000,80,48,118801,98464,0.999855
35.4,975000,270000,75,77,119311,102808,0.757199
35.5,720000,540000,77,57,119736,102808,0.98
35.6,795000,450000,76,63,120178,105704,0.928687
35.7,825000,420000,80,61,120671,108600,0.904306
35.8,825000,420000,77,68,121113,110048,0.904306
35.9,780000,480000,79,69,121572,111496,0.946352
36,750000,495000,80,65,121997,112944,0.959738
36.1,810000,435000,80,68,122456,115840,0.916822
36.2,765000,480000,81,69,122898,117288,0.950207
36.3,780000,465000,82,71,123340,118736,0.939836
36.4,765000,495000,81,71,123740,120184,0.956098
36.5,750000,495000,81,71,124140,121632,0.959738
36.6,780000,465000,80,73,124540,123080,0.939836
36.7,750000,495000,82,73,124956,124528,0.959738
36.8,765000,495000,83,74,125372,124528,0.956098
36.9,750000,495000,83,74,125772,125976,0.959738
37,750000,495000,84,76,126172,127424,0.959738
37.1,765000,480000,83,77,126572,128872,0.950207
37.2,720000,525000,83,74,126956,128872,0.976056
37.3,765000,495000,82,77,127356,128872,0.956098
37.4,735000,510000,84,76,127756,130320,0.968372
37.5,735000,510000,85,80,128156,131768,0.968372
37.6,750000,495000,85,90,128556,131768,0.959738
37.7,735000,515680,87,99,128956,131768,0.970166
37.8,705000,540360,77,96,122192,133216,0.982823
37.9,750000,503280,32,55,62544,92672,0.962692
38,709600,447320,42,15,62808,92672,0.951117
38.1,1.11404e+06,122280,50,74,64175,92672,0.608456
38.2,525000,736800,61,53,64911,94120,0.972597
38.3,735000,510000,59,55,65644,97016,0.968372
38.4,660000,585000,59,58,66326,99912,0.996384
38.5,720000,525000,56,50,67008,101360,0.976056
38.6,720000,525000,54,59,67719,104256,0.976056
38.7,675000,585000,56,53,68409,105704,0.994924
38.8,735000,510000,53,61,69099,108600,0.968372
38.9,615000,630000,57,56,69759,110048,0.999855
39,720000,525000,57,61,70460,112944,0.976056
39.1,630000,630000,62,58,71127,114392,1
39.2,675000,570000,59,61,71736,115840,0.992937
39.3,660000,585000,62,63,72400,117288,0.996384
39.4,675000,570000,59,66,72988,118736,0.992937
39.5,660000,585000,61,68,73632,120184,0.996384
39.6,675000,585000,61,72,74248,121632,0.994924
39.7,630000,615000,61,72,74836,123080,0.999855
39.8,660000,585000,60,76,75405,124528,0.996384
39.9,645000,600000,59,77,75972,125976,0.998695
40,630000,630000,59,76,76539,127424,1
40.1,615000,630000,61,74,77106,127424,0.999855
40.2,630000,615000,61,74,77673,128872,0.999855
40.3,630000,615000,62,73,78219,128872,0.999855
40.4,645000,600000,61,76,78765,130320,0.998695
40.5,630000,630000,61,74,79311,130320,1
40.6,630000,615000,64,80,79883,131768,0.999855
40.7,645000,600000,63,93,80429,131768,0.998695
40.8,630000,625120,63,96,80963,131768,0.999985
40.9,615000,623400,65,99,81488,133216,0.999954
41,645000,611760,64,95,82013,133216,0.999301
41.1,615000,631880,66,96,82538,133216,0.999817
41.2,630000,613160,66,95,83063,133216,0.999817
41.3,660000,595360,64,99,83588,133216,0.997356
41.4,615000,631880,68,96,84128,133216,0.999817
41.5,645000,596760,65,97,84608,133216,0.998493
41.6,660000,590240,65,99,85136,133216,0.996896
41.7,630000,611760,66,99,85640,133216,0.999784
41.8,660000,590240,66,99,86168,133216,0.996896
41.9,630000,628160,68,95,86696,133216,0.999998
42,645000,595360,68,97,87200,133216,0.998401
42.1,645000,606640,69,97,87713,133216,0.999062
42.2,660000,583720,67,100,88196,133216,0.996252
42.3,645000,601880,69,97,88702,133216,0.998805
42.4,660000,585120,69,99,89208,133216,0.996396
42.5,645000,616880,68,97,89691,133216,0.999504
42.6,675000,563600,68,99,90197,133216,0.991976
42.7,645000,610360,69,98,90703,133216,0.999239
42.8,660000,590240,69,100,91207,133216,0.996896
42.9,660000,585120,70,98,91691,133216,0.996396
43,645000,601880,73,97,92197,133216,0.998805
43.1,660000,585120,71,97,92659,133216,0.996396
43.2,675000,573840,71,99,93143,133216,0.993481
43.3,690000,563600,71,99,93649,133216,0.989936
43.4,645000,590240,73,101,94133,133216,0.998039
43.5,660000,595360,71,99,94595,133216,0.997356
43.6,690000,563600,71,101,95101,133216,0.989936
43.7,645000,590240,75,99,95594,133216,0.998039
43.8,675000,585120,74,97,96056,133216,0.994938
43.9,675000,573840,73,101,96518,133216,0.993481
44,660000,578600,75,100,97001,133216,0.9957
44.1,690000,558840,74,101,97463,133216,0.98909
44.2,675000,578600,73,100,97925,133216,0.994121
44.3,690000,548600,73,103,98408,133216,0.987135
44.4,660000,595360,74,101,98870,133216,0.997356
44.5,690000,563600,74,101,99353,133216,0.989936
44.6,675000,573840,75,101,99836,133216,0.993481
44.7,660000,578600,76,100,100277,133216,0.9957
44.8,675000,570120,77,99,100737,133216,0.992955
44.9,690000,567320,77,98,101197,133216,0.990569
45,690000,558480,76,100,101637,133216,0.989024
45.1,690000,558840,78,101,102117,133216,0.98909
45.2,675000,573840,77,99,102557,133216,0.993481
45.3,675000,563600,79,99,103017,133216,0.991976
45.4,705000,547200,78,101,103477,133216,0.984368
45.5,690000,563600,78,101,103937,133216,0.989936
45.6,675000,563600,78,99,104377,133216,0.991976
45.7,705000,547200,79,99,104856,133216,0.984368
45.8,690000,563600,79,101,105293,133216,0.989936
45.9,690000,547200,82,101,105749,133216,0.986853
46,690000,563600,80,99,106167,133216,0.989936
46.1,705000,547200,79,101,106604,133216,0.984368
46.2,690000,547200,79,101,107041,133216,0.986853
46.3,690000,563600,82,101,107497,133216,0.989936
46.4,705000,547200,81,101,107934,133216,0.984368
46.5,690000,562200,81,100,108371,133216,0.989691
46.6,705000,532200,83,101,108827,133216,0.980866
46.7,705000,547200,82,103,109264,133216,0.984368
46.8,705000,536960,81,103,109701,133216,0.982022
46.9,690000,562200,82,102,110138,133216,0.989691
47,705000,548600,83,99,110582,133216,0.984673
47.1,720000,525680,83,101,111014,133216,0.976244
47.2,690000,562200,83,102,111428,133216,0.989691
47.3,705000,543480,85,101,111860,133216,0.983538
47.4,720000,525680,83,101,112274,133216,0.976244
47.5,705000,547200,84,101,112706,133216,0.984368
47.6,705000,535560,84,102,113120,133216,0.981687
47.7,705000,547200,85,102,113552,133216,0.984368
47.8,720000,521960,85,103,113984,133216,0.975204
47.9,705000,552320,87,101,114416,133216,0.985468
48,705000,535560,86,102,114830,133216,0.981687
48.1,735000,519160,83,82,115244,111775,0.971234
48.2,690000,547200,87,35,115694,92672,0.986853
48.3,1.065e+06,195440,77,17,116234,92672,0.677533
48.4,1.245e+06,0,78,82,116962,92672,0.5
48.5,705000,542360,78,51,117353,92672,0.983283
48.6,825000,420000,79,61,117829,95568,0.904306
48.7,690000,555000,97,47,118373,97016,0.988379
48.8,960000,285000,90,66,118849,99912,0.772829
48.9,945000,315000,87,77,119359,102808,0.8
49,750000,495000,85,74,119767,105704,0.959738
49.1,795000,450000,83,71,120192,107152,0.928687
49.2,705000,540000,92,62,120668,108600,0.982739
49.3,900000,360000,88,74,121144,111496,0.844828
49.4,765000,480000,89,73,121586,112944,0.950207
49.5,780000,465000,88,75,122011,114392,0.939836
49.6,750000,495000,90,71,122453,115840,0.959738
49.7,780000,480000,92,73,122912,118736,0.946352
49.8,795000,450000,92,78,123353,120184,0.928687
49.9,765000,480000,91,79,123753,121632,0.950207
50,750000,495000,91,77,124153,123080,0.959738
50.1,750000,495000,92,78,124553,123080,0.959738
50.2,780000,480000,92,79,124969,124528,0.946352
50.3,765000,480000,91,82,125369,125976,0.950207
50.4,735000,510000,92,81,125769,127424,0.968372
50.5,750000,495000,93,82,126169,127424,0.959738
50.6,750000,510000,95,81,126585,128872,0.964989
50.7,750000,495000,93,82,126969,128872,0.959738
50.8,750000,495000,93,82,127369,130320,0.959738
50.9,735000,510000,93,82,127753,130320,0.968372
51,750000,495000,95,92,128169,131768,0.959738
51.1,750000,510000,93,103,128553,131768,0.964989
51.2,705000,543960,87,106,126600,133216,0.983647
51.3,750000,495360,43,82,62576,92672,0.959869
51.4,588880,631120,51,27,62642,92672,0.998803
51.5,1.21704e+06,19560,49,79,64014,92672,0.516068
51.6,585000,657680,48,59,64622,92672,0.996591
51.7,840000,407960,57,71,65643,95568,0.892975
51.8,675000,570000,50,73,66232,98464,0.992937
51.9,720000,540000,59,79,67100,101360,0.98
52,675000,570000,56,79,67748,104256,0.992937
52.1,675000,570000,62,76,68498,105704,0.992937
52.2,690000,555000,62,81,69188,108600,0.988379
52.3,660000,585000,65,77,69878,110048,0.996384
52.4,675000,585000,64,82,70517,112944,0.994924
52.5,660000,585000,65,82,71155,114392,0.996384
52.6,675000,570000,62,83,71764,115840,0.992937
52.7,660000,585000,62,83,72399,117288,0.996384
52.8,645000,615000,62,81,72987,118736,0.999433
52.9,660000,585000,62,81,73603,120184,0.996384
53,630000,615000,63,81,74191,121632,0.999855
53.1,630000,615000,63,79,74779,123080,0.999855
53.2,630000,615000,64,81,75350,124528,0.999855
53.3,615000,645000,65,77,75917,125976,0.999433
53.4,630000,615000,67,80,76511,125976,0.999855
53.5,645000,600000,69,81,77105,127424,0.998695
53.6,645000,600000,68,84,77672,128872,0.998695
53.7,645000,615000,68,85,78218,128872,0.999433
53.8,630000,615000,68,85,78764,130320,0.999855
53.9,645000,600000,69,87,79336,130320,0.998695
54,615000,630000,69,86,79856,131768,0.999855
54.1,630000,615000,71,98,80428,131768,0.999855
54.2,615000,637360,70,104,80937,131768,0.999681
54.3,645000,606120,70,106,81462,133216,0.999035
