Time,Cubic_1_Bps,Cubic_2_Bps,Cubic_1_PktLoss,Cubic_2_PktLoss,Cubic_1_Cwnd,Cubic_2_Cwnd,JainsFairnessIndex
21.8,720000,525000,100,73,111496,130320,0.976056
21.9,720000,525000,100,79,111496,131768,0.976056
22,705000,540000,100,88,112944,133216,0.982739
22.1,720000,534960,100,95,112944,133216,0.978722
22.2,720000,532200,100,96,112944,133216,0.978002
22.3,705000,544920,102,95,114392,133216,0.983862
22.4,720000,520560,100,68,114392,115802,0.974805
22.5,720000,535560,100,22,114392,92672,0.978877
22.6,1.11e+06,131760,93,59,115840,92672,0.617053
22.7,1.245e+06,0,92,75,115840,92672,0.5
22.8,525000,722680,94,41,117288,94120,0.975512
22.9,1.005e+06,240000,95,60,117288,95568,0.725922
23,735000,525000,104,47,117288,98464,0.972973
23.1,855000,390000,106,69,118736,101360,0.87758
23.2,825000,420000,103,58,118736,102808,0.904306
23.3,780000,465000,95,59,118736,105704,0.939836
23.4,825000,435000,107,61,120184,107152,0.912571
23.5,765000,480000,108,63,120184,110048,0.950207
23.6,810000,435000,104,71,120184,111496,0.916822
23.7,795000,450000,100,64,121632,112944,0.928687
23.8,780000,465000,102,66,121632,114392,0.939836
23.9,780000,480000,109,70,123080,117288,0.946352
24,750000,495000,110,70,124528,118736,0.959738
24.1,780000,465000,107,70,125976,120184,0.939836
24.2,780000,465000,109,68,128872,121632,0.939836
24.3,795000,465000,109,70,130320,123080,0.935809
24.4,780000,465000,119,73,131768,123080,0.939836
24.5,765000,480000,134,76,133216,124528,0.950207
24.6,743320,510000,129,73,136632,125976,0.966505
24.7,759280,480000,73,55,92672,99598,0.951669
24.8,670040,588240,103,16,95568,86880,0.995792
24.9,1.23128e+06,15000,97,58,98464,86880,0.512181
25,630000,616280,102,35,99912,86880,0.999879
25.1,975000,270000,103,58,102808,89776,0.757199
25.2,795000,450000,112,50,105704,89776,0.928687
25.3,855000,405000,116,65,107152,92672,0.886878
25.4,870000,375000,110,60,110048,92672,0.8635
25.5,840000,405000,107,64,111496,94120,0.891203
25.6,765000,480000,114,61,114392,95568,0.950207
25.7,765000,480000,118,54,115840,97016,0.950207
25.8,930000,330000,115,65,117288,98464,0.815157
25.9,795000,450000,119,66,118736,99912,0.928687
26,825000,420000,117,68,120184,99912,0.904306
26.1,840000,405000,116,63,121632,99912,0.891203
26.2,810000,450000,119,64,123080,101360,0.924528
26.3,795000,450000,123,65,124528,102808,0.928687
26.4,825000,420000,123,67,125976,102808,0.904306
26.5,840000,405000,121,68,125976,102808,0.891203
26.6,810000,435000,124,66,127424,104256,0.916822
26.7,810000,450000,124,66,127424,104256,0.924528
26.8,810000,435000,127,68,128872,105704,0.916822
26.9,825000,420000,126,68,128872,105704,0.904306
27,840000,405000,123,67,130320,105704,0.891203
27.1,825000,435000,126,68,130320,105704,0.912571
27.2,810000,435000,136,69,131768,105704,0.916822
27.3,813600,435000,151,68,131768,105704,0.915799
27.4,813960,435000,154,67,131768,105704,0.915697
27.5,828400,420000,91,67,91224,105704,0.903326
27.6,400880,840000,126,41,91224,105704,0.888708
27.7,970000,285000,112,72,94120,105704,0.770466
27.8,690000,555000,116,59,95568,105704,0.988379
